--- Fields ---
document 0 1090 0
title 0 19 0
heading 19 32 0
heading 32 45 0
heading 45 65 0
heading 808 810 0
heading 823 827 0
heading 827 828 0
heading 828 840 0
heading 840 851 0
heading 851 863 0
heading 863 865 0
heading 912 914 0
url 1090 1110 0
--- Terms ---
0 1 kellei
1 2 blue
2 3 book
3 4 name
4 5 10
5 6 bite
6 0 [OOV]
7 7 red
8 8 car
9 9 candi
10 0 [OOV]
11 10 valentin
12 11 dai
13 12 irvin
14 13 calif
15 14 feb
16 15 7
17 16 2012
18 17 prnewswir
19 18 see
20 0 [OOV]
21 19 new
22 20 releas
23 0 [OOV]
24 21 automot
25 22 transport
26 23 truck
27 24 railroad
28 25 advertis
29 26 publish
30 0 [OOV]
31 27 servic
32 1 kellei
33 2 blue
34 3 book
35 4 name
36 5 10
37 6 bite
38 0 [OOV]
39 7 red
40 8 car
41 9 candi
42 0 [OOV]
43 10 valentin
44 11 dai
45 0 [OOV]
46 28 celebr
47 0 [OOV]
48 29 object
49 0 [OOV]
50 8 car
51 30 lover
52 31 affect
53 32 kbb
54 33 com
55 34 editor
56 35 list
57 36 top
58 16 2012
59 37 model
60 38 year
61 39 pick
62 0 [OOV]
63 7 red
64 8 car
65 40 download
66 41 imag
67 12 irvin
68 13 calif
69 14 feb
70 15 7
71 16 2012
72 17 prnewswir
73 0 [OOV]
74 42 expert
75 34 editor
76 0 [OOV]
77 1 kellei
78 2 blue
79 3 book
80 43 www
81 32 kbb
82 33 com
83 0 [OOV]
84 44 lead
85 45 provid
86 0 [OOV]
87 19 new
88 8 car
89 0 [OOV]
90 0 [OOV]
91 8 car
92 0 [OOV]
93 46 todai
94 4 name
95 0 [OOV]
96 5 10
97 6 bite
98 0 [OOV]
99 7 red
100 8 car
101 9 candi
102 0 [OOV]
103 10 valentin
104 11 dai
105 47 http
106 43 www
107 32 kbb
108 33 com
109 8 car
110 19 new
111 0 [OOV]
112 0 [OOV]
113 48 latest
114 5 10
115 6 bite
116 0 [OOV]
117 7 red
118 8 car
119 9 candi
120 0 [OOV]
121 10 valentin
122 11 dai
123 49 logo
124 47 http
125 50 photo
126 17 prnewswir
127 33 com
128 51 prnh
129 52 20111102
130 53 aq99077logo
131 0 [OOV]
132 0 [OOV]
133 54 holidai
134 0 [OOV]
135 28 celebr
136 55 passion
137 10 valentin
138 11 dai
139 0 [OOV]
140 0 [OOV]
141 56 perfect
142 57 excus
143 0 [OOV]
144 0 [OOV]
145 34 editor
146 0 [OOV]
147 1 kellei
148 2 blue
149 3 book
150 0 [OOV]
151 32 kbb
152 33 com
153 0 [OOV]
154 58 share
155 0 [OOV]
156 0 [OOV]
157 59 belov
158 7 red
159 8 car
160 0 [OOV]
161 60 auto
162 30 lover
163 0 [OOV]
164 0 [OOV]
165 42 expert
166 34 editor
167 61 spot
168 0 [OOV]
169 7 red
170 62 hot
171 63 ey
172 9 candi
173 0 [OOV]
174 0 [OOV]
175 38 year
176 0 [OOV]
177 60 auto
178 64 show
179 0 [OOV]
180 19 new
181 65 vehicl
182 66 debut
183 0 [OOV]
184 67 now
185 68 happili
186 58 share
187 0 [OOV]
188 7 red
189 8 car
190 69 favorit
191 0 [OOV]
192 65 vehicl
193 70 shopper
194 0 [OOV]
195 71 give
196 9 candi
197 0 [OOV]
198 10 valentin
199 11 dai
200 0 [OOV]
201 0 [OOV]
202 0 [OOV]
203 72 continu
204 0 [OOV]
205 0 [OOV]
206 73 tradit
207 0 [OOV]
208 74 offer
209 5 10
210 75 gorgeou
211 76 piec
212 0 [OOV]
213 63 ey
214 9 candi
215 0 [OOV]
216 0 [OOV]
217 77 form
218 0 [OOV]
219 0 [OOV]
220 0 [OOV]
221 0 [OOV]
222 78 hottest
223 8 car
224 0 [OOV]
225 0 [OOV]
226 79 road
227 46 todai
228 0 [OOV]
229 80 jack
230 0 [OOV]
231 81 nerad
232 82 execut
233 83 editori
234 84 director
235 0 [OOV]
236 82 execut
237 85 market
238 86 analyst
239 0 [OOV]
240 1 kellei
241 2 blue
242 3 book
243 0 [OOV]
244 32 kbb
245 33 com
246 0 [OOV]
247 0 [OOV]
248 8 car
249 87 come
250 0 [OOV]
251 7 red
252 88 onli
253 0 [OOV]
254 0 [OOV]
255 89 stun
256 90 exampl
257 0 [OOV]
258 91 sexi
259 92 sheetmet
